Rk,Player,FantPos,PPR,-9999
130,Tee Higgins,WR,11.5,HiggTe00
131,Curtis Samuel,WR,9.82,SamuCu00
132,Tommy DeVito,QB,10.4,DeViTo00
133,Khalil Herbert,RB,9.38,HerbKh00
134,Christian Kirk,WR,12.5,KirkCh01
135,Josh Downs,WR,9.24,DownJo00
136,Josh Reynolds,WR,7.58,ReynJo00
137,Jerry Jeudy,WR,8.86,JeudJe00
138,Jaxon Smith-Njigba,WR,8.81,SmitJa06
139,Tyrod Taylor,QB,7.94,TaylTy00
140,Deshaun Watson,QB,14.5,WatsDe00
141,Marquise Brown,WR,9.62,BrowMa04
142,Kyle Pitts,TE,8.08,PittKy00
143,DJ Chark,WR,7.70,CharDJ00
144,Justice Hill,RB,6.83,HillJu00
145,Dontayvion Wicks,WR,7.99,WickDo00
146,Ty Chandler,RB,5.94,ChanTy01
147,D'Onta Foreman,RB,10.1,ForeDO00
148,Ryan Tannehill,QB,8.00,TannRy00
149,Antonio Gibson,RB,7.96,GibsAn00
150,Tyler Boyd,WR,8.52,BoydTy00
151,Hunter Henry,TE,8.56,HenrHu00
152,Dallas Goedert,TE,9.74,GoedDa00
153,Dalton Kincaid,TE,9.39,KincDa00
154,Michael Wilson,WR,8.81,WilsMi02
155,Jahan Dotson,WR,7.34,DotsJa00
156,Rico Dowdle,RB,5.72,DowdRi01
157,Jaleel McLaughlin,RB,6.24,McLaJa00
158,Khalil Shakir,WR,6.65,ShakKh00
159,Jonnu Smith,TE,7.31,SmitJo01
160,Tutu Atwell,WR,7.03,AtweTu00
161,Odell Beckham Jr.,WR,7.68,BeckOd00
162,Zach Charbonnet,RB,6.63,CharZa00
163,Elijah Moore,WR,7.77,MoorEl00
164,Anthony Richardson,QB,18.2,RichAn03
165,Wan'Dale Robinson,WR,8.88,RobiWa01
166,Christian Watson,WR,11.3,WatsCh00
167,K.J. Osborn,WR,7.50,OsboKJ00
168,Logan Thomas,TE,7.92,ThomLo00
169,Isaiah Likely,TE,5.95,LikeIs00
170,Samaje Perine,RB,7.14,PeriSa00
171,Cade Otton,TE,6.85,OttoCa00
172,Dameon Pierce,RB,5.91,PierDa01
173,Noah Brown,WR,10.2,BrowNo00
174,Josh Palmer,WR,10.7,PalmJo00
175,Bailey Zappe,QB,6.92,ZappBa00
176,Roschon Johnson,RB,6.81,JohnRo07
177,Easton Stick,QB,13.5,SticEa00
178,Kenneth Gainwell,RB,6.09,GainKe00
179,Nick Mullens,QB,13.3,MullNi00
180,Taylor Heinicke,QB,13.2,HeinTa00
