Player,Tm,FantPos,PPR,-9999
Tyler Huntley,BAL,QB,5.12,HuntTy01
Kadarius Toney,KAN,WR,4.08,ToneKa00
Carson Wentz,LAR,QB,13.1,WentCa00
Ronnie Bell,SFO,WR,1.81,BellRo01
Pharaoh Brown,NWE,TE,2.22,BrowPh01
Harrison Bryant,CLE,TE,2.23,BryaHa00
Dalvin Cook,2TM,RB,2.68,CookDa01
Zach Ertz,ARI,TE,7.39,ErtzZa00
Deonte Harty,BUF,WR,2.50,HarrDe07
Mack Hollins,ATL,WR,3.32,HollMa00
D'Ernest Johnson,JAX,RB,2.05,JohnDE04
Ty Johnson,BUF,RB,3.24,JohnTy02
Julio Jones,PHI,WR,3.31,JoneJu02
Tony Jones,2TM,RB,4.60,JoneTo04
Kyle Juszczyk*+,SFO,FB,2.26,JuszKy00
Foster Moreau,NOR,TE,3.09,MoreFo00
Craig Reynolds,DET,RB,1.74,ReynCr00
Ihmir Smith-Marsette,CAR,WR,1.91,SmitIh00
Treylon Burks,TEN,WR,3.63,BurkTr00
Andy Dalton,CAR,QB,7.87,DaltAn00
Hayden Hurst,CAR,TE,4.71,HursHa00
Hunter Renfrow,LVR,WR,2.85,RenfHu00
Jacoby Brissett,WAS,QB,7.63,BrisJa00
Dyami Brown,WAS,WR,2.06,BrowDy00
Sam Darnold,SFO,QB,2.34,DarnSa00
Will Dissly,SEA,TE,2.51,DissWi00
Darrynton Evans,2TM,RB,4.29,EvanDa02
KhaDarel Hodge,ATL,WR,2.19,HodgKh00
Austin Hooper,LVR,TE,2.85,HoopAu00
Johnny Mundt,MIN,TE,2.36,MundJo00
Cedric Tillman,CLE,WR,3.16,TillCe01
Parker Washington,JAX,WR,4.36,WashPa01
Ameer Abdullah,LVR,RB,2.41,AbduAm00
Tank Bigsby,JAX,RB,1.34,BigsTa00
Elijah Higgins,ARI,TE,3.30,HiggEl00
Jalen Reagor,NWE,WR,2.59,ReagJa00
Stone Smartt,LAC,TE,2.03,SmarSt00
Dorian Thompson-Robinson,CLE,QB,2.76,ThomDo02
C.J. Beathard,JAX,QB,3.07,BeatC.00
Derius Davis,LAC,WR,2.10,DaviDe02
Van Jefferson,2TM,WR,2.43,JeffVa00
Will Mallory,IND,TE,3.23,MallWi00
Jamison Crowder,WAS,WR,2.11,CrowJa00
P.J. Walker,CLE,QB,3.33,WalkPh00
Quez Watkins,PHI,WR,3.91,WatkQu00
Robbie Chosen,MIA,WR,2.51,AndeRo04
Nick Chubb,CLE,RB,11.6,ChubNi00
Malik Heath,GNB,WR,2.58,HeatMa00
Luke Schoonmaker,DAL,TE,1.56,SchoLu00
Tyler Scott,CHI,WR,2.11,ScotTy00
Patrick Taylor,GNB,RB,2.73,TaylPa01
River Cracraft,MIA,WR,2.71,CracRi00
Kevin Harris,NWE,RB,5.33,HarrKe01
Davis Mills,HOU,QB,2.97,MillDa02
Deven Thompkins,TAM,WR,2.05,ThomDe07
Melvin Gordon,BAL,RB,4.92,GordMe00
Damien Harris,BUF,RB,3.17,HarrDa06
Connor Heyward,PIT,TE,2.34,HeywCo00
Ray-Ray McCloud,SFO,WR,2.38,McClRa00
MyCole Pruitt,ATL,TE,1.53,PruiMy00
Trey Sermon,IND,RB,1.45,SermTr00
Davis Allen,LAR,TE,1.70,AlleDa02
Luke Farrell,JAX,TE,1.68,FarrLu00
Lucas Krull,DEN,TE,3.36,KrulLu00
John Metchie,HOU,WR,2.01,MetcJo00
Donovan Peoples-Jones,2TM,WR,1.90,PeopDo00
Kyle Philips,TEN,WR,3.46,PhilKy01
Irv Smith Jr.,CIN,TE,2.79,SmitIr01
John Bates,WAS,TE,2.01,BateJo00
Jalen Guyton,LAC,WR,3.11,GuytJa01
Charlie Kolar,BAL,TE,1.45,KolaCh00
David Moore,TAM,WR,2.91,MoorDa03
Ronnie Rivers,LAR,RB,2.23,RiveRo01
Jeremy Ruckert,NYJ,TE,2.07,RuckJe00
Trent Sherfield,BUF,WR,1.51,SherTr00
Josh Whyle,TEN,TE,2.22,WhylJo01
Brock Wright,DET,TE,2.01,WrigBr01
Chase Claypool,2TM,WR,1.81,ClayCh01
Jeff Driskel,CLE,QB,13.9,DrisJe00
Xavier Hutchinson,HOU,WR,1.37,HutcXa00
Charlie Jones,CIN,WR,1.88,JoneCh11
Terrace Marshall Jr.,CAR,WR,3.66,MarsTe00
Byron Pringle,WAS,WR,1.65,PrinBy00
Ben Skowronek,LAR,WR,1.26,SkowBe00
Tyquan Thornton,NWE,WR,3.02,ThorTy00
Jordan Akins,CLE,TE,1.66,AkinJo00
Isaiah Spiller,LAC,RB,2.11,SpilIs00
Stephen Sullivan,CAR,TE,2.23,SullSt00
Lynn Bowden Jr.,NOR,WR,1.50,BowdLy00
Jason Brownlee,NYJ,WR,2.37,BrowJa07
Randall Cobb,NYJ,WR,1.54,CobbRa00
Tyler Goodson,IND,RB,3.02,GoodTy00
Alec Ingold*,MIA,FB,1.46,IngoAl01
Marcus Mariota,PHI,QB,3.93,MariMa01
D.J. Montgomery,IND,WR,2.09,MontDJ01
Boston Scott,PHI,RB,1.05,ScotBo02
Laviska Shenault Jr.,CAR,WR,2.69,ShenLa00
Cole Turner,WAS,TE,1.92,TurnCo00
C.J. Uzomah,NYJ,TE,1.65,UzomC.00
Jameis Winston,NOR,QB,1.71,WinsJa00
Raheem Blackshear,CAR,RB,1.43,BlacRa00
Brandon Bolden,LVR,RB,0.65,BoldBr00
Tim Boyle,NYJ,QB,3.63,BoylTi00
Chris Brooks,MIA,RB,1.18,BrooCh00
Mecole Hardman,2TM,WR,2.34,HardMe00
La'Mical Perine,KAN,RB,4.67,PeriLa00
Patrick Ricard,BAL,FB,0.95,RicaPa00
Robert Tonyan,CHI,TE,1.31,TonyRo00
Emanuel Wilson,GNB,RB,2.11,WilsEm00
Lawrence Cager,NYG,TE,1.24,CageLa01
Parris Campbell,NYG,WR,2.53,CampPa00
J.K. Dobbins,BAL,RB,11.7,DobbJK00
Marquise Goodwin,CLE,WR,1.17,GoodMa00
Keaontay Ingram,ARI,RB,1.75,IngrKe01
Case Keenum,HOU,QB,4.85,KeenCa00
Keith Kirkwood,NOR,WR,1.13,KirkKe00
