Player,Tm,FantPos,PPR,-9999
Jonathan Ward,TEN,RB,0.16,WardJo00
Devon Allen,PHI,WR,,AlleDe02
Stephen Anderson,LAC,TE,,AndeSt01
Andre Baccellia,ARI,WR,,BaccAn00
Michael Bandy,DEN,WR,,BandMi00
Matt Barkley,JAX,QB,-0.30,BarkMa00
Nick Bellore*,SEA,FB,,BellNi01
Chris Blair,ATL,WR,,BlaiCh00
Teddy Bridgewater,DET,QB,-0.20,BridTe00
Matt Bushman,KAN,TE,,BushMa00
Terrell Bynum,LAC,WR,,BynuTe00
Damiere Byrd,ATL,WR,,ByrdDa00
Jason Cabinda,DET,FB,,CabiJa00
Marquez Callaway,NOR,WR,,CallMa01
Stephen Carlson,CHI,TE,,CarlSt00
Irvin Charles,NYJ,WR,,CharIr00
Julius Chestnut,TEN,RB,,ChesJu00
Dan Chisena,2TM,WR,,ChisDa00
Corey Clement,ARI,RB,,ClemCo00
Tanner Conner,MIA,TE,,ConnTa00
Malik Cunningham,2TM,QB,,CunnMa00
Darrell Daniels,DET,TE,,DaniDa02
Frank Darby,ATL,WR,,DarbFr00
Jaelon Darden,CLE,WR,,DardJa00
Malik Davis,DAL,RB,,DaviMa02
Phillip Dorsett,DEN,WR,,DorsPh00
Colton Dowell,TEN,WR,0.13,DoweCo00
Dylan Drummond,DET,WR,,DrumDy00
Sam Ehlinger,IND,QB,,EhliSa00
Princeton Fant,DAL,TE,,FantPr00
Ethan Fernea,IND,WR,,FernEt00
Anthony Firkser,DET,TE,,FirkAn00
Dez Fitzpatrick,PIT,WR,,FitzDe00
Myles Gaskin,2TM,RB,,GaskMy00
Zach Gentry,LVR,TE,,GentZa00
Reggie Gilliam,BUF,FB,0.08,GillRe00
Antoine Green,DET,WR,0.13,GreeAn00
Jacob Harris,JAX,WR,,HarrJa03
N'Keal Harry,MIN,WR,,HarrNK00
Jamycal Hasty,2TM,RB,,HastJa02
Parker Hesse,ATL,TE,,HessPa00
J.P. Holtz,NOR,TE,,HoltJ.01
Travis Homer,CHI,RB,,HomeTr00
Jesper Horsted,LVR,TE,0.11,HorsJe00
Mohamed Ibrahim,DET,RB,,IbraMo00
Godwin Igwebuike,2TM,RB,,IgweGo00
Andy Isabella,BUF,WR,,IsabAn00
Kearis Jackson,TEN,WR,,JackKe02
Lucky Jackson,MIN,WR,,JackLu00
Shedrick Jackson,CIN,WR,,JackSh01
Tyree Jackson,NYG,TE,,JackTy01
Johnny Johnson,HOU,WR,,JohnJo12
Hunter Kampmoyer,LAC,TE,,KampHu00
Dalton Keene,HOU,TE,,KeenDa00
Tyler Kroft,MIA,TE,,KrofTy00
Zack Kuntz,NYJ,TE,,KuntZa00
Kwamie Lassiter II,CIN,WR,1.20,LassKw00
Hunter Long,LAR,TE,,LongHu00
Tay Martin,SFO,WR,,MartTa00
Ben Mason,BAL,FB,,MasoBe00
Jordan Matthews,CAR,TE,,MattJo00
Kenny McIntosh,SEA,RB,,McInKe00
Sean McKeon,DAL,TE,,McKeSe01
Tre' McKitty,LAC,TE,,McKiTr00
Jeremy McNichols,SFO,RB,,McNiJe00
Kirk Merritt,NOR,WR,,MerrKi00
Ryan Miller,TAM,WR,,MillRy01
Jordan Mims,NOR,RB,,MimsJo00
Stanley Morgan Jr.,CIN,WR,,MorgSt02
Albert Okwuegbunam,PHI,TE,,OkwuAl00
Qadree Ollison,PIT,RB,,OlliQa00
Henry Pearson,GNB,FB,,PearHe00
Josh Pederson,JAX,TE,,PedeJo00
Nathan Peterman,CHI,QB,-0.20,PeteNa00
Adam Prentice,NOR,FB,0.18,PrenAd00
Deneric Prince,KAN,RB,,PrinDe00
Giovanni Ricci,CAR,FB,0.24,RiccGi00
James Robinson,GNB,RB,1.00,RobiJa00
Aaron Rodgers,NYJ,QB,,RodgAa00
Amari Rodgers,IND,WR,,RodgAm00
Brady Russell,SEA,TE,,RussBr00
David Sills,DEN,WR,,SillDa01
Matthew Slater,NWE,WR,,SlatMa00
Tre'Quan Smith,DEN,WR,,SmitTr03
Matt Sokol,NWE,TE,,SokoMa00
SaRodorick Thompson,SEA,RB,,ThomSa00
Mitchell Tinsley,WAS,WR,,TinsMi00
Noah Togiai,PHI,TE,,TogiNo00
Kyle Trask,TAM,QB,-0.05,TrasKy00
DJ Turner,LVR,WR,,TurnDJ00
Xazavian Valladay,NYJ,RB,,VallXa00
Nick Vannett,LAC,TE,0.16,VannNi00
Travis Vokolek,ARI,TE,,VokoTr00
Dwayne Washington,DEN,RB,,WashDw00
Montrell Washington,KAN,WR,,WashMo00
Blake Whiteheart,ARI,TE,,WhitBl01
Kristian Wilkerson,LVR,WR,,WilkKr00
Brayden Willis,SFO,TE,,WillBr06
Jonathan Williams,WAS,RB,-0.20,WillJo07
Rodney Williams,PIT,TE,,WillRo08
Juwann Winfree,IND,WR,,WinfJu00
Easop Winston,SEA,WR,,WinsEa00
Logan Woodside,ATL,QB,-0.30,WoodLo00
Owen Wright,BAL,RB,,WrigOw00
Dareke Young,SEA,WR,,YounDa02
Kyle Allen,BUF,QB,-0.19,AlleKy00
Deon Jackson,3TM,RB,1.00,JackDe02
David Wells,TAM,TE,0.20,WellDa00
James Proche,CLE,WR,-0.20,ProcJa00
Trent Taylor,CHI,WR,-0.13,TaylTr02
